spans	sentence
6 6	Elias Lafayette Rinehart was born at Mississippi on 01 January 1836 . His mother is Sarah Rinehart
8 10	Elias Lafayette Rinehart was born at Mississippi on 01 January 1836 . His mother is Sarah Rinehart
15 16	Elias Lafayette Rinehart was born at Mississippi on 01 January 1836 . His mother is Sarah Rinehart
0 4	Lady Olympia Arabella Kitty Spencer-Churchill was born at Portland Hospital on 10 September 2020 . His mother is Camilla Thorp
8 9	Lady Olympia Arabella Kitty Spencer-Churchill was born at Portland Hospital on 10 September 2020 . His mother is Camilla Thorp
11 13	Lady Olympia Arabella Kitty Spencer-Churchill was born at Portland Hospital on 10 September 2020 . His mother is Camilla Thorp
18 19	Lady Olympia Arabella Kitty Spencer-Churchill was born at Portland Hospital on 10 September 2020 . His mother is Camilla Thorp
0 4	George Evelyn Augustus Townley Sothern was born at Kensington on 01 January 1866 . His mother is Frances Emily Stewart
8 8	George Evelyn Augustus Townley Sothern was born at Kensington on 01 January 1866 . His mother is Frances Emily Stewart
10 12	George Evelyn Augustus Townley Sothern was born at Kensington on 01 January 1866 . His mother is Frances Emily Stewart
17 19	George Evelyn Augustus Townley Sothern was born at Kensington on 01 January 1866 . His mother is Frances Emily Stewart
0 2	Richard Buckminster Fuller was born at Milton on 12 July 1895 . His mother is Caroline Wolcott Andrews
6 6	Richard Buckminster Fuller was born at Milton on 12 July 1895 . His mother is Caroline Wolcott Andrews
8 10	Richard Buckminster Fuller was born at Milton on 12 July 1895 . His mother is Caroline Wolcott Andrews
15 17	Richard Buckminster Fuller was born at Milton on 12 July 1895 . His mother is Caroline Wolcott Andrews
0 2	Farrah Leni Fawcett was born at Corpus Christi on 02 February 1947 . His mother is Pauline Alice Evans
6 7	Farrah Leni Fawcett was born at Corpus Christi on 02 February 1947 . His mother is Pauline Alice Evans
9 11	Farrah Leni Fawcett was born at Corpus Christi on 02 February 1947 . His mother is Pauline Alice Evans
16 18	Farrah Leni Fawcett was born at Corpus Christi on 02 February 1947 . His mother is Pauline Alice Evans
0 1	Donald McLennan was born at Inverness on 26 October 1833 . His mother is Janet Ross
5 5	Donald McLennan was born at Inverness on 26 October 1833 . His mother is Janet Ross
7 9	Donald McLennan was born at Inverness on 26 October 1833 . His mother is Janet Ross
14 15	Donald McLennan was born at Inverness on 26 October 1833 . His mother is Janet Ross
0 2	James Maitland Stewart was born at Indiana County on 20 May 1908 . His mother is Elizabeth Ruth Stewart
6 7	James Maitland Stewart was born at Indiana County on 20 May 1908 . His mother is Elizabeth Ruth Stewart
9 11	James Maitland Stewart was born at Indiana County on 20 May 1908 . His mother is Elizabeth Ruth Stewart
16 18	James Maitland Stewart was born at Indiana County on 20 May 1908 . His mother is Elizabeth Ruth Stewart
0 2	Elizabeth Harriet Beecher was born at Litchfield on 14 June 1811 . His mother is Roxana Foote Beecher
6 6	Elizabeth Harriet Beecher was born at Litchfield on 14 June 1811 . His mother is Roxana Foote Beecher
8 10	Elizabeth Harriet Beecher was born at Litchfield on 14 June 1811 . His mother is Roxana Foote Beecher
15 17	Elizabeth Harriet Beecher was born at Litchfield on 14 June 1811 . His mother is Roxana Foote Beecher
0 2	Bruce Peter Reimer was born at Winnipeg on 22 August 1965 . His mother is Janet Grace Schultz
6 6	Bruce Peter Reimer was born at Winnipeg on 22 August 1965 . His mother is Janet Grace Schultz
8 10	Bruce Peter Reimer was born at Winnipeg on 22 August 1965 . His mother is Janet Grace Schultz
15 17	Bruce Peter Reimer was born at Winnipeg on 22 August 1965 . His mother is Janet Grace Schultz
0 2	Maria Halle Berry was born at Cleveland on 14 August 1966 . His mother is Judith Ann Hawkins
6 6	Maria Halle Berry was born at Cleveland on 14 August 1966 . His mother is Judith Ann Hawkins
8 10	Maria Halle Berry was born at Cleveland on 14 August 1966 . His mother is Judith Ann Hawkins
15 17	Maria Halle Berry was born at Cleveland on 14 August 1966 . His mother is Judith Ann Hawkins
0 2	Thebe Neruda Kgositsile was born at Chicago on 24 February 1994 . His mother is Cheryl Harris
6 6	Thebe Neruda Kgositsile was born at Chicago on 24 February 1994 . His mother is Cheryl Harris
8 10	Thebe Neruda Kgositsile was born at Chicago on 24 February 1994 . His mother is Cheryl Harris
15 16	Thebe Neruda Kgositsile was born at Chicago on 24 February 1994 . His mother is Cheryl Harris
0 2	Macaulay Carson Culkin was born at Manhattan on 26 August 1980 . His mother is Patricia Brent, Spinster
6 6	Macaulay Carson Culkin was born at Manhattan on 26 August 1980 . His mother is Patricia Brent, Spinster
8 10	Macaulay Carson Culkin was born at Manhattan on 26 August 1980 . His mother is Patricia Brent, Spinster
15 17	Macaulay Carson Culkin was born at Manhattan on 26 August 1980 . His mother is Patricia Brent, Spinster
0 2	Ronald William Howard was born at Duncan on 01 March 1954 . His mother is Jean Speegle Howard
6 6	Ronald William Howard was born at Duncan on 01 March 1954 . His mother is Jean Speegle Howard
8 10	Ronald William Howard was born at Duncan on 01 March 1954 . His mother is Jean Speegle Howard
15 17	Ronald William Howard was born at Duncan on 01 March 1954 . His mother is Jean Speegle Howard
0 2	Julius Henry Marx was born at Manhattan on 02 October 1890 . His mother is Minnie Marx
6 6	Julius Henry Marx was born at Manhattan on 02 October 1890 . His mother is Minnie Marx
8 10	Julius Henry Marx was born at Manhattan on 02 October 1890 . His mother is Minnie Marx
15 16	Julius Henry Marx was born at Manhattan on 02 October 1890 . His mother is Minnie Marx
0 3	John Sidney McCain III was born at Coco Solo on 29 August 1936 . His mother is Roberta McCain
7 8	John Sidney McCain III was born at Coco Solo on 29 August 1936 . His mother is Roberta McCain
10 12	John Sidney McCain III was born at Coco Solo on 29 August 1936 . His mother is Roberta McCain
17 18	John Sidney McCain III was born at Coco Solo on 29 August 1936 . His mother is Roberta McCain
0 2	Carlos Irwin Estévez was born at New York City on 03 September 1965 . His mother is Janet Sheen
6 8	Carlos Irwin Estévez was born at New York City on 03 September 1965 . His mother is Janet Sheen
10 12	Carlos Irwin Estévez was born at New York City on 03 September 1965 . His mother is Janet Sheen
17 18	Carlos Irwin Estévez was born at New York City on 03 September 1965 . His mother is Janet Sheen
0 3	Joseph Francis Keaton VI was born at Piqua on 04 October 1895 . His mother is Myra Keaton
7 7	Joseph Francis Keaton VI was born at Piqua on 04 October 1895 . His mother is Myra Keaton
9 11	Joseph Francis Keaton VI was born at Piqua on 04 October 1895 . His mother is Myra Keaton
16 17	Joseph Francis Keaton VI was born at Piqua on 04 October 1895 . His mother is Myra Keaton
0 2	Betty Joan Perske was born at The Bronx on 16 September 1924 . His mother is Natalie Bacal
6 7	Betty Joan Perske was born at The Bronx on 16 September 1924 . His mother is Natalie Bacal
9 11	Betty Joan Perske was born at The Bronx on 16 September 1924 . His mother is Natalie Bacal
16 17	Betty Joan Perske was born at The Bronx on 16 September 1924 . His mother is Natalie Bacal
0 1	Issur Danielovitch was born at Amsterdam on 09 December 1916 . His mother is Bertha Sanglel
5 5	Issur Danielovitch was born at Amsterdam on 09 December 1916 . His mother is Bertha Sanglel
7 9	Issur Danielovitch was born at Amsterdam on 09 December 1916 . His mother is Bertha Sanglel
14 15	Issur Danielovitch was born at Amsterdam on 09 December 1916 . His mother is Bertha Sanglel
0 2	Gladys Louise Smith was born at Toronto on 08 April 1892 . His mother is Charlotte Hennessy
6 6	Gladys Louise Smith was born at Toronto on 08 April 1892 . His mother is Charlotte Hennessy
8 10	Gladys Louise Smith was born at Toronto on 08 April 1892 . His mother is Charlotte Hennessy
15 16	Gladys Louise Smith was born at Toronto on 08 April 1892 . His mother is Charlotte Hennessy
0 3	Douglas Elton Thomas Ullman was born at Denver on 23 May 1883 . His mother is Ella Adelaide Marsh
7 7	Douglas Elton Thomas Ullman was born at Denver on 23 May 1883 . His mother is Ella Adelaide Marsh
9 11	Douglas Elton Thomas Ullman was born at Denver on 23 May 1883 . His mother is Ella Adelaide Marsh
16 18	Douglas Elton Thomas Ullman was born at Denver on 23 May 1883 . His mother is Ella Adelaide Marsh
0 2	Dorothy Constance Spreckles was born on 09 March 1913 . His mother is Alma de Bretteville
6 8	Dorothy Constance Spreckles was born on 09 March 1913 . His mother is Alma de Bretteville
13 15	Dorothy Constance Spreckles was born on 09 March 1913 . His mother is Alma de Bretteville
0 2	Lillian Diana Gish was born at Springfield on 14 October 1893 . His mother is Mary Gish
6 6	Lillian Diana Gish was born at Springfield on 14 October 1893 . His mother is Mary Gish
8 10	Lillian Diana Gish was born at Springfield on 14 October 1893 . His mother is Mary Gish
15 16	Lillian Diana Gish was born at Springfield on 14 October 1893 . His mother is Mary Gish
0 1	Melvin Kaminsky was born at Brooklyn on 28 June 1926 . His mother is Kate Kaminsky
5 5	Melvin Kaminsky was born at Brooklyn on 28 June 1926 . His mother is Kate Kaminsky
7 9	Melvin Kaminsky was born at Brooklyn on 28 June 1926 . His mother is Kate Kaminsky
14 15	Melvin Kaminsky was born at Brooklyn on 28 June 1926 . His mother is Kate Kaminsky
0 2	Doris Mary Kappelhoff was born at Cincinnati on 03 April 1922 . His mother is Alma Sophia Welz
6 6	Doris Mary Kappelhoff was born at Cincinnati on 03 April 1922 . His mother is Alma Sophia Welz
8 10	Doris Mary Kappelhoff was born at Cincinnati on 03 April 1922 . His mother is Alma Sophia Welz
15 17	Doris Mary Kappelhoff was born at Cincinnati on 03 April 1922 . His mother is Alma Sophia Welz
0 2	Doris Mary Kappelhoff was born at Cincinnati on 01 January 1922 . His mother is Alma Sophia Welz
6 6	Doris Mary Kappelhoff was born at Cincinnati on 01 January 1922 . His mother is Alma Sophia Welz
8 10	Doris Mary Kappelhoff was born at Cincinnati on 01 January 1922 . His mother is Alma Sophia Welz
15 17	Doris Mary Kappelhoff was born at Cincinnati on 01 January 1922 . His mother is Alma Sophia Welz
0 1	Edwina Sundholm was born on 28 April 1919 . His mother is Lillian Sundholm
5 7	Edwina Sundholm was born on 28 April 1919 . His mother is Lillian Sundholm
12 13	Edwina Sundholm was born on 28 April 1919 . His mother is Lillian Sundholm
0 3	Lady Caroline Maureen Hamilton-Temple-Blackwood was born at Greater London on 16 July 1931 . His mother is Maureen Guinness
7 8	Lady Caroline Maureen Hamilton-Temple-Blackwood was born at Greater London on 16 July 1931 . His mother is Maureen Guinness
10 12	Lady Caroline Maureen Hamilton-Temple-Blackwood was born at Greater London on 16 July 1931 . His mother is Maureen Guinness
17 18	Lady Caroline Maureen Hamilton-Temple-Blackwood was born at Greater London on 16 July 1931 . His mother is Maureen Guinness
0 2	Caroline Webster Schermerhorn was born at Manhattan on 22 September 1830 . His mother is Helen White
6 6	Caroline Webster Schermerhorn was born at Manhattan on 22 September 1830 . His mother is Helen White
8 10	Caroline Webster Schermerhorn was born at Manhattan on 22 September 1830 . His mother is Helen White
15 16	Caroline Webster Schermerhorn was born at Manhattan on 22 September 1830 . His mother is Helen White
0 1	Adrien Brody was born at Woodhaven on 14 April 1973 . His mother is Sylvia Plachy
5 5	Adrien Brody was born at Woodhaven on 14 April 1973 . His mother is Sylvia Plachy
7 9	Adrien Brody was born at Woodhaven on 14 April 1973 . His mother is Sylvia Plachy
14 15	Adrien Brody was born at Woodhaven on 14 April 1973 . His mother is Sylvia Plachy
0 4	Christopher George Latore Wallace Jr. was born at New York City on 29 October 1996 . His mother is Faith Evans
8 10	Christopher George Latore Wallace Jr. was born at New York City on 29 October 1996 . His mother is Faith Evans
12 14	Christopher George Latore Wallace Jr. was born at New York City on 29 October 1996 . His mother is Faith Evans
19 20	Christopher George Latore Wallace Jr. was born at New York City on 29 October 1996 . His mother is Faith Evans
0 2	Lucy Burwell Page was born at Rosewell on 01 January 1808 . His mother is Margaret Lowther Page
6 6	Lucy Burwell Page was born at Rosewell on 01 January 1808 . His mother is Margaret Lowther Page
8 10	Lucy Burwell Page was born at Rosewell on 01 January 1808 . His mother is Margaret Lowther Page
15 17	Lucy Burwell Page was born at Rosewell on 01 January 1808 . His mother is Margaret Lowther Page
0 2	Mary Thompson Young was born at Shelby County on 01 January 1834 . His mother is Mary Thompson McDowell
6 7	Mary Thompson Young was born at Shelby County on 01 January 1834 . His mother is Mary Thompson McDowell
9 11	Mary Thompson Young was born at Shelby County on 01 January 1834 . His mother is Mary Thompson McDowell
16 18	Mary Thompson Young was born at Shelby County on 01 January 1834 . His mother is Mary Thompson McDowell
0 2	Ruth Putnam McAneny was born on 01 January 1901 . His mother is Marjorie Jacobi McAneny
6 8	Ruth Putnam McAneny was born on 01 January 1901 . His mother is Marjorie Jacobi McAneny
13 15	Ruth Putnam McAneny was born on 01 January 1901 . His mother is Marjorie Jacobi McAneny
0 2	Thomas Oliver Chaplin was born at Hastings on 08 March 1979 . His mother is Sally Taylor
6 6	Thomas Oliver Chaplin was born at Hastings on 08 March 1979 . His mother is Sally Taylor
8 10	Thomas Oliver Chaplin was born at Hastings on 08 March 1979 . His mother is Sally Taylor
15 16	Thomas Oliver Chaplin was born at Hastings on 08 March 1979 . His mother is Sally Taylor
0 3	Emma Carolyn Margaret Jouannet-Hartley was born at Paris on 17 September 1992 . His mother is Grace Hartley
7 7	Emma Carolyn Margaret Jouannet-Hartley was born at Paris on 17 September 1992 . His mother is Grace Hartley
9 11	Emma Carolyn Margaret Jouannet-Hartley was born at Paris on 17 September 1992 . His mother is Grace Hartley
16 17	Emma Carolyn Margaret Jouannet-Hartley was born at Paris on 17 September 1992 . His mother is Grace Hartley
0 2	Catherine Elizabeth Middleton was born at Royal Berkshire Hospital on 09 January 1982 . His mother is Carole Middleton
6 8	Catherine Elizabeth Middleton was born at Royal Berkshire Hospital on 09 January 1982 . His mother is Carole Middleton
10 12	Catherine Elizabeth Middleton was born at Royal Berkshire Hospital on 09 January 1982 . His mother is Carole Middleton
17 18	Catherine Elizabeth Middleton was born at Royal Berkshire Hospital on 09 January 1982 . His mother is Carole Middleton
0 2	Aaron William Jouannet-Hartley was born at Hammersmith on 25 June 1987 . His mother is Grace Hartley
6 6	Aaron William Jouannet-Hartley was born at Hammersmith on 25 June 1987 . His mother is Grace Hartley
8 10	Aaron William Jouannet-Hartley was born at Hammersmith on 25 June 1987 . His mother is Grace Hartley
15 16	Aaron William Jouannet-Hartley was born at Hammersmith on 25 June 1987 . His mother is Grace Hartley
0 2	Norman Robert Foster was born at Stockport on 01 June 1935 . His mother is Lillian Smith
6 6	Norman Robert Foster was born at Stockport on 01 June 1935 . His mother is Lillian Smith
8 10	Norman Robert Foster was born at Stockport on 01 June 1935 . His mother is Lillian Smith
15 16	Norman Robert Foster was born at Stockport on 01 June 1935 . His mother is Lillian Smith
0 1	Kimberly Bauer was born at Santa Monica on 01 January 1987 . His mother is Teri Bauer
5 6	Kimberly Bauer was born at Santa Monica on 01 January 1987 . His mother is Teri Bauer
8 10	Kimberly Bauer was born at Santa Monica on 01 January 1987 . His mother is Teri Bauer
15 16	Kimberly Bauer was born at Santa Monica on 01 January 1987 . His mother is Teri Bauer
0 2	Juliet Kathryn Jouannet-Hartley was born at Westminster on 08 March 1990 . His mother is Grace Hartley
6 6	Juliet Kathryn Jouannet-Hartley was born at Westminster on 08 March 1990 . His mother is Grace Hartley
8 10	Juliet Kathryn Jouannet-Hartley was born at Westminster on 08 March 1990 . His mother is Grace Hartley
15 16	Juliet Kathryn Jouannet-Hartley was born at Westminster on 08 March 1990 . His mother is Grace Hartley
0 3	Harold Mark Christopher Judd was born at Chelmsford on 23 December 1985 . His mother is Emma Mary Powell Williams
7 7	Harold Mark Christopher Judd was born at Chelmsford on 23 December 1985 . His mother is Emma Mary Powell Williams
9 11	Harold Mark Christopher Judd was born at Chelmsford on 23 December 1985 . His mother is Emma Mary Powell Williams
16 19	Harold Mark Christopher Judd was born at Chelmsford on 23 December 1985 . His mother is Emma Mary Powell Williams
0 2	Caylee Marie Anthony was born at Orlando on 09 August 2005 . His mother is Casey Anthony
6 6	Caylee Marie Anthony was born at Orlando on 09 August 2005 . His mother is Casey Anthony
8 10	Caylee Marie Anthony was born at Orlando on 09 August 2005 . His mother is Casey Anthony
15 16	Caylee Marie Anthony was born at Orlando on 09 August 2005 . His mother is Casey Anthony
0 2	Antoinette Eno Pinchot was born on 15 January 1924 . His mother is Ruth Pickering Pinchot
6 8	Antoinette Eno Pinchot was born on 15 January 1924 . His mother is Ruth Pickering Pinchot
13 15	Antoinette Eno Pinchot was born on 15 January 1924 . His mother is Ruth Pickering Pinchot
0 3	Jefferson Charka Davis Riddle was born at Oregon on 01 November 1862 . His mother is Toby Riddle
7 7	Jefferson Charka Davis Riddle was born at Oregon on 01 November 1862 . His mother is Toby Riddle
9 11	Jefferson Charka Davis Riddle was born at Oregon on 01 November 1862 . His mother is Toby Riddle
16 17	Jefferson Charka Davis Riddle was born at Oregon on 01 November 1862 . His mother is Toby Riddle
0 3	Jefferson Charka Davis Riddle was born at Oregon on 30 November 1862 . His mother is Toby Riddle
7 7	Jefferson Charka Davis Riddle was born at Oregon on 30 November 1862 . His mother is Toby Riddle
9 11	Jefferson Charka Davis Riddle was born at Oregon on 30 November 1862 . His mother is Toby Riddle
16 17	Jefferson Charka Davis Riddle was born at Oregon on 30 November 1862 . His mother is Toby Riddle
0 3	Nala Yasmeen Ivory Wayans was born at United States of America on 30 April 1996 . His mother is Daphne Wayans
7 10	Nala Yasmeen Ivory Wayans was born at United States of America on 30 April 1996 . His mother is Daphne Wayans
12 14	Nala Yasmeen Ivory Wayans was born at United States of America on 30 April 1996 . His mother is Daphne Wayans
19 20	Nala Yasmeen Ivory Wayans was born at United States of America on 30 April 1996 . His mother is Daphne Wayans
0 3	August Philip Hawke Brooksbank was born at Portland Hospital on 09 February 2021 . His mother is Princess Eugenie
7 8	August Philip Hawke Brooksbank was born at Portland Hospital on 09 February 2021 . His mother is Princess Eugenie
10 12	August Philip Hawke Brooksbank was born at Portland Hospital on 09 February 2021 . His mother is Princess Eugenie
17 18	August Philip Hawke Brooksbank was born at Portland Hospital on 09 February 2021 . His mother is Princess Eugenie
0 2	Alice Edna Busch was born on 13 April 1904 . His mother is Alice Edna Zisemann
6 8	Alice Edna Busch was born on 13 April 1904 . His mother is Alice Edna Zisemann
13 15	Alice Edna Busch was born on 13 April 1904 . His mother is Alice Edna Zisemann
0 1	Elizabeth Gunn was born at Oxfordshire on 13 July 1922 . His mother is Gwendoline Thorpe
5 5	Elizabeth Gunn was born at Oxfordshire on 13 July 1922 . His mother is Gwendoline Thorpe
7 9	Elizabeth Gunn was born at Oxfordshire on 13 July 1922 . His mother is Gwendoline Thorpe
14 15	Elizabeth Gunn was born at Oxfordshire on 13 July 1922 . His mother is Gwendoline Thorpe
0 1	Bellatrix Black was born on 01 January 1951 . His mother is Druella Rosier
5 7	Bellatrix Black was born on 01 January 1951 . His mother is Druella Rosier
12 13	Bellatrix Black was born on 01 January 1951 . His mother is Druella Rosier
0 2	Narendra Damodardas Modi was born at Vadnagar on 17 September 1950 . His mother is Heeraben Modi
6 6	Narendra Damodardas Modi was born at Vadnagar on 17 September 1950 . His mother is Heeraben Modi
8 10	Narendra Damodardas Modi was born at Vadnagar on 17 September 1950 . His mother is Heeraben Modi
15 16	Narendra Damodardas Modi was born at Vadnagar on 17 September 1950 . His mother is Heeraben Modi
0 2	Dennis Alan Taylor was born on 01 February 1940 . His mother is Violet Mary Forrest
6 8	Dennis Alan Taylor was born on 01 February 1940 . His mother is Violet Mary Forrest
13 15	Dennis Alan Taylor was born on 01 February 1940 . His mother is Violet Mary Forrest
0 3	Lady Emma Louise Paulet was born on 01 April 1993 . His mother is Christine Town
7 9	Lady Emma Louise Paulet was born on 01 April 1993 . His mother is Christine Town
14 15	Lady Emma Louise Paulet was born on 01 April 1993 . His mother is Christine Town
0 2	Harriet Hulet Walker was born on 01 January 1870 . His mother is Harriet G. Walker
6 8	Harriet Hulet Walker was born on 01 January 1870 . His mother is Harriet G. Walker
13 15	Harriet Hulet Walker was born on 01 January 1870 . His mother is Harriet G. Walker
0 2	Lucas Philip Tindall was born at Gatcombe Park on 21 March 2021 . His mother is Zara Tindall
6 7	Lucas Philip Tindall was born at Gatcombe Park on 21 March 2021 . His mother is Zara Tindall
9 11	Lucas Philip Tindall was born at Gatcombe Park on 21 March 2021 . His mother is Zara Tindall
16 17	Lucas Philip Tindall was born at Gatcombe Park on 21 March 2021 . His mother is Zara Tindall
0 2	Isabelle Yasmina Adjani was born at 17th arrondissement of Paris on 27 June 1955 . His mother is Emma Augusta Adjani
6 9	Isabelle Yasmina Adjani was born at 17th arrondissement of Paris on 27 June 1955 . His mother is Emma Augusta Adjani
11 13	Isabelle Yasmina Adjani was born at 17th arrondissement of Paris on 27 June 1955 . His mother is Emma Augusta Adjani
18 20	Isabelle Yasmina Adjani was born at 17th arrondissement of Paris on 27 June 1955 . His mother is Emma Augusta Adjani
0 2	Charles Francis Brush was born at Euclid on 17 March 1849 . His mother is Delia Williams Brush
6 6	Charles Francis Brush was born at Euclid on 17 March 1849 . His mother is Delia Williams Brush
8 10	Charles Francis Brush was born at Euclid on 17 March 1849 . His mother is Delia Williams Brush
15 17	Charles Francis Brush was born at Euclid on 17 March 1849 . His mother is Delia Williams Brush
0 2	Julia Biddle Cope was born on 10 June 1866 . His mother is Annie Pim Cope
6 8	Julia Biddle Cope was born on 10 June 1866 . His mother is Annie Pim Cope
13 15	Julia Biddle Cope was born on 10 June 1866 . His mother is Annie Pim Cope
0 2	Julia Biddle Cope was born on 01 January 1866 . His mother is Annie Pim Cope
6 8	Julia Biddle Cope was born on 01 January 1866 . His mother is Annie Pim Cope
13 15	Julia Biddle Cope was born on 01 January 1866 . His mother is Annie Pim Cope
0 2	Helen Margaret Hodgson was born at Hastings on 21 July 1921 . His mother is Eliza Amy Hodgson
6 6	Helen Margaret Hodgson was born at Hastings on 21 July 1921 . His mother is Eliza Amy Hodgson
8 10	Helen Margaret Hodgson was born at Hastings on 21 July 1921 . His mother is Eliza Amy Hodgson
15 17	Helen Margaret Hodgson was born at Hastings on 21 July 1921 . His mother is Eliza Amy Hodgson
0 2	James Gordon Brown was born at Giffnock on 20 February 1951 . His mother is Bunty Souter
6 6	James Gordon Brown was born at Giffnock on 20 February 1951 . His mother is Bunty Souter
8 10	James Gordon Brown was born at Giffnock on 20 February 1951 . His mother is Bunty Souter
15 16	James Gordon Brown was born at Giffnock on 20 February 1951 . His mother is Bunty Souter
0 3	Charles Edmund Lazar Horman was born at New York City on 15 May 1942 . His mother is Elizabeth Horman
7 9	Charles Edmund Lazar Horman was born at New York City on 15 May 1942 . His mother is Elizabeth Horman
11 13	Charles Edmund Lazar Horman was born at New York City on 15 May 1942 . His mother is Elizabeth Horman
18 19	Charles Edmund Lazar Horman was born at New York City on 15 May 1942 . His mother is Elizabeth Horman
0 2	River Jude Bottom was born at Madras on 23 August 1970 . His mother is Arlyn Phoenix
6 6	River Jude Bottom was born at Madras on 23 August 1970 . His mother is Arlyn Phoenix
